variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
zone_full_sinc,43,random_paired,43,0.0894098281860351,0.1657204180955886,6.711756438016892,0.0873134136199951,0.090515099465847,0.1081130877137184,0.0939809456467628,0.1023818254470825,0.0938990861177444,0.0836463868618011,0.0859529972076416,0.0888247191905975,0.0763847082853317,78,361428,26.9,cpu,ok,2026-08-22T00:15:37
zone_full_sinc,44,random_paired,44,0.0856185406446456,0.1452552676200866,6.506997346878052,0.0835842341184616,0.086956650018692,0.1063103526830673,0.0857451558113098,0.0964621230959892,0.0914168283343315,0.0805107727646827,0.0800888016819953,0.0852075442671775,0.0917248651385307,100,361428,34.9,cpu,ok,2026-08-22T00:16:12
zone_full_sinc,45,random_paired,45,0.0737520605325698,0.1419642269611358,5.597257241606712,0.0717862546443939,0.0743289068341255,0.0874532684683799,0.0777471140027046,0.084588274359703,0.0780531615018844,0.0693684369325637,0.072572223842144,0.0734027698636055,0.0771005675196647,100,361428,34.3,cpu,ok,2026-08-22T00:16:46
zone_full_sinc,46,random_paired,46,0.0753275528550148,0.1314421594142913,5.729614943265915,0.0736462771892547,0.0761491805315017,0.0876187607645988,0.0751475319266319,0.0828458368778228,0.0767809227108955,0.0726457461714744,0.0709358677268028,0.0750453844666481,0.0810097530484199,84,361428,28.7,cpu,ok,2026-08-22T00:17:15
lstm,42,random_paired,42,0.2150217890739441,0.3017357289791107,15.723349153995514,0.2096817046403885,0.218540146946907,0.2580071091651916,0.228033646941185,0.2488726824522018,0.2234385460615158,0.2018648087978363,0.2052238881587982,0.2140461206436157,0.2266601771116256,29,623027,3.6,cpu,ok,2026-08-22T00:17:19
lstm,43,random_paired,43,0.2228291183710098,0.3147723078727722,16.304992139339447,0.2181977778673172,0.2266603261232376,0.2560662031173706,0.2325923591852188,0.2494722455739975,0.2278245687484741,0.2119190692901611,0.2147426754236221,0.2221819907426834,0.216973677277565,27,623027,3.3,cpu,ok,2026-08-22T00:17:22
lstm,44,random_paired,44,0.2193192690610885,0.3185144960880279,15.611958503723145,0.2154122143983841,0.2234624028205871,0.2469030171632766,0.2274244874715805,0.242735743522644,0.2239377200603485,0.2099430710077285,0.2132916897535324,0.2189671844244003,0.2456325143575668,25,623027,3.0,cpu,ok,2026-08-22T00:17:25
lstm,45,random_paired,45,0.1928024142980575,0.2804852128028869,14.435341954231262,0.1881602853536605,0.1976115703582763,0.2270243614912033,0.2056546360254287,0.2225508093833923,0.1993012130260467,0.1801590174436569,0.1855729967355728,0.1922260820865631,0.1973945647478103,26,623027,3.2,cpu,ok,2026-08-22T00:17:28
lstm,46,random_paired,46,0.2011094987392425,0.2802514433860779,15.103903412818909,0.1987980604171753,0.2045157998800277,0.212124153971672,0.2043026983737945,0.2130930870771408,0.2010958045721054,0.1968622356653213,0.1973639726638794,0.2012633681297302,0.228061556816101,23,623027,2.8,cpu,ok,2026-08-22T00:17:31
gcn_gru,42,random_paired,42,0.0940770506858825,0.1648044139146804,6.790391355752945,0.0900604501366615,0.0943682938814163,0.1289477497339248,0.0988450497388839,0.115860179066658,0.100604809820652,0.0855590254068374,0.0860385596752166,0.0929466933012008,0.1041675880551338,43,32707,3.1,cpu,ok,2026-08-22T00:17:34
